asset_path,character_id,usage,required_format,source,license_status
audio/characters/char_u4e00_v1.mp3,char_u4e00,character,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/meanings/meaning_u4e00_v1.mp3,char_u4e00,meaning,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e00_1_v1.mp3,char_u4e00,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e00_2_v1.mp3,char_u4e00,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e00_3_v1.mp3,char_u4e00,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/sentences/sentence_u4e00_v1.mp3,char_u4e00,sentence,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
images/characters/char_u4e00_main_v1.webp,char_u4e00,main image / image option,WebP sRGB 1024x1024 <=500KB,AI generated or self-created,SELF_GENERATED_PENDING_REVIEW
audio/characters/char_u4e8c_v1.mp3,char_u4e8c,character,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/meanings/meaning_u4e8c_v1.mp3,char_u4e8c,meaning,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e8c_1_v1.mp3,char_u4e8c,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e8c_2_v1.mp3,char_u4e8c,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e8c_3_v1.mp3,char_u4e8c,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/sentences/sentence_u4e8c_v1.mp3,char_u4e8c,sentence,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
images/characters/char_u4e8c_main_v1.webp,char_u4e8c,main image / image option,WebP sRGB 1024x1024 <=500KB,AI generated or self-created,SELF_GENERATED_PENDING_REVIEW
audio/characters/char_u4e09_v1.mp3,char_u4e09,character,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/meanings/meaning_u4e09_v1.mp3,char_u4e09,meaning,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e09_1_v1.mp3,char_u4e09,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e09_2_v1.mp3,char_u4e09,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e09_3_v1.mp3,char_u4e09,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/sentences/sentence_u4e09_v1.mp3,char_u4e09,sentence,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
images/characters/char_u4e09_main_v1.webp,char_u4e09,main image / image option,WebP sRGB 1024x1024 <=500KB,AI generated or self-created,SELF_GENERATED_PENDING_REVIEW
audio/characters/char_u4e0a_v1.mp3,char_u4e0a,character,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/meanings/meaning_u4e0a_v1.mp3,char_u4e0a,meaning,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e0a_1_v1.mp3,char_u4e0a,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e0a_2_v1.mp3,char_u4e0a,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e0a_3_v1.mp3,char_u4e0a,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/sentences/sentence_u4e0a_v1.mp3,char_u4e0a,sentence,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
images/characters/char_u4e0a_main_v1.webp,char_u4e0a,main image / image option,WebP sRGB 1024x1024 <=500KB,AI generated or self-created,SELF_GENERATED_PENDING_REVIEW
audio/characters/char_u4e0b_v1.mp3,char_u4e0b,character,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/meanings/meaning_u4e0b_v1.mp3,char_u4e0b,meaning,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e0b_1_v1.mp3,char_u4e0b,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e0b_2_v1.mp3,char_u4e0b,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u4e0b_3_v1.mp3,char_u4e0b,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/sentences/sentence_u4e0b_v1.mp3,char_u4e0b,sentence,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
images/characters/char_u4e0b_main_v1.webp,char_u4e0b,main image / image option,WebP sRGB 1024x1024 <=500KB,AI generated or self-created,SELF_GENERATED_PENDING_REVIEW
audio/characters/char_u65e5_v1.mp3,char_u65e5,character,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/meanings/meaning_u65e5_v1.mp3,char_u65e5,meaning,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
audio/words/word_u65e5_1_v1.mp3,char_u65e5,word,MP3 mono 44.1kHz 96-128kbps,TTS or adult self-recording,SELF_GENERATED_PENDING_REVIEW
