option_id,kind,character_id,text,asset_path,review_status
text_char_u4e00,TEXT,char_u4e00,一,,PENDING
image_char_u4e00,IMAGE,char_u4e00,一,images/characters/char_u4e00_main_v1.webp,PENDING
audio_char_u4e00,AUDIO,char_u4e00,一,audio/characters/char_u4e00_v1.mp3,PENDING
word_char_u4e00_1,TEXT,char_u4e00,一个,,PENDING
word_char_u4e00_2,TEXT,char_u4e00,一天,,PENDING
word_char_u4e00_3,TEXT,char_u4e00,一口,,PENDING
text_char_u4e8c,TEXT,char_u4e8c,二,,PENDING
image_char_u4e8c,IMAGE,char_u4e8c,二,images/characters/char_u4e8c_main_v1.webp,PENDING
audio_char_u4e8c,AUDIO,char_u4e8c,二,audio/characters/char_u4e8c_v1.mp3,PENDING
word_char_u4e8c_1,TEXT,char_u4e8c,二月,,PENDING
word_char_u4e8c_2,TEXT,char_u4e8c,第二,,PENDING
word_char_u4e8c_3,TEXT,char_u4e8c,一二三,,PENDING
text_char_u4e09,TEXT,char_u4e09,三,,PENDING
image_char_u4e09,IMAGE,char_u4e09,三,images/characters/char_u4e09_main_v1.webp,PENDING
audio_char_u4e09,AUDIO,char_u4e09,三,audio/characters/char_u4e09_v1.mp3,PENDING
word_char_u4e09_1,TEXT,char_u4e09,三个,,PENDING
word_char_u4e09_2,TEXT,char_u4e09,三天,,PENDING
word_char_u4e09_3,TEXT,char_u4e09,三月,,PENDING
text_char_u4e0a,TEXT,char_u4e0a,上,,PENDING
image_char_u4e0a,IMAGE,char_u4e0a,上,images/characters/char_u4e0a_main_v1.webp,PENDING
audio_char_u4e0a,AUDIO,char_u4e0a,上,audio/characters/char_u4e0a_v1.mp3,PENDING
word_char_u4e0a_1,TEXT,char_u4e0a,上面,,PENDING
word_char_u4e0a_2,TEXT,char_u4e0a,上山,,PENDING
word_char_u4e0a_3,TEXT,char_u4e0a,天上,,PENDING
text_char_u4e0b,TEXT,char_u4e0b,下,,PENDING
image_char_u4e0b,IMAGE,char_u4e0b,下,images/characters/char_u4e0b_main_v1.webp,PENDING
audio_char_u4e0b,AUDIO,char_u4e0b,下,audio/characters/char_u4e0b_v1.mp3,PENDING
word_char_u4e0b_1,TEXT,char_u4e0b,下面,,PENDING
word_char_u4e0b_2,TEXT,char_u4e0b,下山,,PENDING
word_char_u4e0b_3,TEXT,char_u4e0b,下雨,,PENDING
text_char_u65e5,TEXT,char_u65e5,日,,PENDING
image_char_u65e5,IMAGE,char_u65e5,日,images/characters/char_u65e5_main_v1.webp,PENDING
audio_char_u65e5,AUDIO,char_u65e5,日,audio/characters/char_u65e5_v1.mp3,PENDING
word_char_u65e5_1,TEXT,char_u65e5,日出,,PENDING
word_char_u65e5_2,TEXT,char_u65e5,日光,,PENDING
word_char_u65e5_3,TEXT,char_u65e5,日历,,PENDING
text_char_u6708,TEXT,char_u6708,月,,PENDING
image_char_u6708,IMAGE,char_u6708,月,images/characters/char_u6708_main_v1.webp,PENDING
audio_char_u6708,AUDIO,char_u6708,月,audio/characters/char_u6708_v1.mp3,PENDING
word_char_u6708_1,TEXT,char_u6708,月亮,,PENDING
word_char_u6708_2,TEXT,char_u6708,月光,,PENDING
word_char_u6708_3,TEXT,char_u6708,月牙,,PENDING
text_char_u6c34,TEXT,char_u6c34,水,,PENDING
image_char_u6c34,IMAGE,char_u6c34,水,images/characters/char_u6c34_main_v1.webp,PENDING
audio_char_u6c34,AUDIO,char_u6c34,水,audio/characters/char_u6c34_v1.mp3,PENDING
word_char_u6c34_1,TEXT,char_u6c34,喝水,,PENDING
word_char_u6c34_2,TEXT,char_u6c34,河水,,PENDING
word_char_u6c34_3,TEXT,char_u6c34,水杯,,PENDING
text_char_u706b,TEXT,char_u706b,火,,PENDING
image_char_u706b,IMAGE,char_u706b,火,images/characters/char_u706b_main_v1.webp,PENDING
audio_char_u706b,AUDIO,char_u706b,火,audio/characters/char_u706b_v1.mp3,PENDING
word_char_u706b_1,TEXT,char_u706b,火苗,,PENDING
word_char_u706b_2,TEXT,char_u706b,火光,,PENDING
word_char_u706b_3,TEXT,char_u706b,火山,,PENDING
text_char_u6728,TEXT,char_u6728,木,,PENDING
image_char_u6728,IMAGE,char_u6728,木,images/characters/char_u6728_main_v1.webp,PENDING
audio_char_u6728,AUDIO,char_u6728,木,audio/characters/char_u6728_v1.mp3,PENDING
word_char_u6728_1,TEXT,char_u6728,木头,,PENDING
word_char_u6728_2,TEXT,char_u6728,木门,,PENDING
word_char_u6728_3,TEXT,char_u6728,木马,,PENDING
text_char_u5929,TEXT,char_u5929,天,,PENDING
image_char_u5929,IMAGE,char_u5929,天,images/characters/char_u5929_main_v1.webp,PENDING
audio_char_u5929,AUDIO,char_u5929,天,audio/characters/char_u5929_v1.mp3,PENDING
word_char_u5929_1,TEXT,char_u5929,天上,,PENDING
word_char_u5929_2,TEXT,char_u5929,白天,,PENDING
word_char_u5929_3,TEXT,char_u5929,天空,,PENDING
text_char_u4e91,TEXT,char_u4e91,云,,PENDING
image_char_u4e91,IMAGE,char_u4e91,云,images/characters/char_u4e91_main_v1.webp,PENDING
audio_char_u4e91,AUDIO,char_u4e91,云,audio/characters/char_u4e91_v1.mp3,PENDING
word_char_u4e91_1,TEXT,char_u4e91,白云,,PENDING
word_char_u4e91_2,TEXT,char_u4e91,云朵,,PENDING
word_char_u4e91_3,TEXT,char_u4e91,乌云,,PENDING
text_char_u96e8,TEXT,char_u96e8,雨,,PENDING
image_char_u96e8,IMAGE,char_u96e8,雨,images/characters/char_u96e8_main_v1.webp,PENDING
audio_char_u96e8,AUDIO,char_u96e8,雨,audio/characters/char_u96e8_v1.mp3,PENDING
word_char_u96e8_1,TEXT,char_u96e8,下雨,,PENDING
word_char_u96e8_2,TEXT,char_u96e8,雨水,,PENDING
word_char_u96e8_3,TEXT,char_u96e8,大雨,,PENDING
text_char_u98ce,TEXT,char_u98ce,风,,PENDING
image_char_u98ce,IMAGE,char_u98ce,风,images/characters/char_u98ce_main_v1.webp,PENDING
audio_char_u98ce,AUDIO,char_u98ce,风,audio/characters/char_u98ce_v1.mp3,PENDING
word_char_u98ce_1,TEXT,char_u98ce,大风,,PENDING
word_char_u98ce_2,TEXT,char_u98ce,风车,,PENDING
word_char_u98ce_3,TEXT,char_u98ce,风声,,PENDING
text_char_u7530,TEXT,char_u7530,田,,PENDING
image_char_u7530,IMAGE,char_u7530,田,images/characters/char_u7530_main_v1.webp,PENDING
audio_char_u7530,AUDIO,char_u7530,田,audio/characters/char_u7530_v1.mp3,PENDING
word_char_u7530_1,TEXT,char_u7530,田地,,PENDING
word_char_u7530_2,TEXT,char_u7530,水田,,PENDING
word_char_u7530_3,TEXT,char_u7530,田野,,PENDING
text_char_u624b,TEXT,char_u624b,手,,PENDING
image_char_u624b,IMAGE,char_u624b,手,images/characters/char_u624b_main_v1.webp,PENDING
audio_char_u624b,AUDIO,char_u624b,手,audio/characters/char_u624b_v1.mp3,PENDING
word_char_u624b_1,TEXT,char_u624b,小手,,PENDING
word_char_u624b_2,TEXT,char_u624b,手心,,PENDING
word_char_u624b_3,TEXT,char_u624b,洗手,,PENDING
