asset_path,character_id,usage,shared_template,source_question_ids,requires_new_image,review_status
images/characters/char_u4e00_main_v1.webp,char_u4e00,main image and image-option,quantity-one-two-three,q_char_u4e00_character_choose_image,false,PENDING
images/characters/char_u4e8c_main_v1.webp,char_u4e8c,main image and image-option,quantity-one-two-three,q_char_u4e8c_character_choose_image,false,PENDING
images/characters/char_u4e09_main_v1.webp,char_u4e09,main image and image-option,quantity-one-two-three,q_char_u4e09_character_choose_image,false,PENDING
images/characters/char_u4e0a_main_v1.webp,char_u4e0a,main image and image-option,position-up-down,q_char_u4e0a_character_choose_image,false,PENDING
images/characters/char_u4e0b_main_v1.webp,char_u4e0b,main image and image-option,position-up-down,q_char_u4e0b_character_choose_image,false,PENDING
images/characters/char_u65e5_main_v1.webp,char_u65e5,main image and image-option,character-main,q_char_u65e5_character_choose_image,false,PENDING
images/characters/char_u6708_main_v1.webp,char_u6708,main image and image-option,character-main,q_char_u6708_character_choose_image,false,PENDING
images/characters/char_u6c34_main_v1.webp,char_u6c34,main image and image-option,character-main,q_char_u6c34_character_choose_image,false,PENDING
images/characters/char_u706b_main_v1.webp,char_u706b,main image and image-option,character-main,q_char_u706b_character_choose_image,false,PENDING
images/characters/char_u6728_main_v1.webp,char_u6728,main image and image-option,character-main,q_char_u6728_character_choose_image,false,PENDING
images/characters/char_u5929_main_v1.webp,char_u5929,main image and image-option,character-main,q_char_u5929_character_choose_image,false,PENDING
images/characters/char_u4e91_main_v1.webp,char_u4e91,main image and image-option,character-main,q_char_u4e91_character_choose_image,false,PENDING
images/characters/char_u96e8_main_v1.webp,char_u96e8,main image and image-option,character-main,q_char_u96e8_character_choose_image,false,PENDING
images/characters/char_u98ce_main_v1.webp,char_u98ce,main image and image-option,character-main,q_char_u98ce_character_choose_image,false,PENDING
images/characters/char_u7530_main_v1.webp,char_u7530,main image and image-option,character-main,q_char_u7530_character_choose_image,false,PENDING
images/characters/char_u624b_main_v1.webp,char_u624b,main image and image-option,character-main,q_char_u624b_character_choose_image,false,PENDING
images/characters/char_u5934_main_v1.webp,char_u5934,main image and image-option,character-main,q_char_u5934_character_choose_image,false,PENDING
images/characters/char_u8033_main_v1.webp,char_u8033,main image and image-option,character-main,q_char_u8033_character_choose_image,false,PENDING
images/characters/char_u773c_main_v1.webp,char_u773c,main image and image-option,character-main,q_char_u773c_character_choose_image,false,PENDING
images/characters/char_u7259_main_v1.webp,char_u7259,main image and image-option,character-main,q_char_u7259_character_choose_image,false,PENDING
images/characters/char_u725b_main_v1.webp,char_u725b,main image and image-option,character-main,q_char_u725b_character_choose_image,false,PENDING
images/characters/char_u7f8a_main_v1.webp,char_u7f8a,main image and image-option,character-main,q_char_u7f8a_character_choose_image,false,PENDING
images/characters/char_u9e1f_main_v1.webp,char_u9e1f,main image and image-option,character-main,q_char_u9e1f_character_choose_image,false,PENDING
images/characters/char_u9c7c_main_v1.webp,char_u9c7c,main image and image-option,character-main,q_char_u9c7c_character_choose_image,false,PENDING
images/characters/char_u9a6c_main_v1.webp,char_u9a6c,main image and image-option,character-main,q_char_u9a6c_character_choose_image,false,PENDING
