character_id,text_reviewed,asset_reviewed_by_developer,asset_reviewed_by_parent,blocked_reason
char_u4e00,true,false,false,WAITING_FOR_REAL_MEDIA
char_u4e8c,true,false,false,WAITING_FOR_REAL_MEDIA
char_u4e09,true,false,false,WAITING_FOR_REAL_MEDIA
char_u4e0a,true,false,false,WAITING_FOR_REAL_MEDIA
char_u4e0b,true,false,false,WAITING_FOR_REAL_MEDIA
char_u65e5,true,false,false,WAITING_FOR_REAL_MEDIA
char_u6708,true,false,false,WAITING_FOR_REAL_MEDIA
char_u6c34,true,false,false,WAITING_FOR_REAL_MEDIA
char_u706b,true,false,false,WAITING_FOR_REAL_MEDIA
char_u6728,true,false,false,WAITING_FOR_REAL_MEDIA
char_u5929,true,false,false,WAITING_FOR_REAL_MEDIA
char_u4e91,true,false,false,WAITING_FOR_REAL_MEDIA
char_u96e8,true,false,false,WAITING_FOR_REAL_MEDIA
char_u98ce,true,false,false,WAITING_FOR_REAL_MEDIA
char_u7530,true,false,false,WAITING_FOR_REAL_MEDIA
char_u624b,true,false,false,WAITING_FOR_REAL_MEDIA
char_u5934,true,false,false,WAITING_FOR_REAL_MEDIA
char_u8033,true,false,false,WAITING_FOR_REAL_MEDIA
char_u773c,true,false,false,WAITING_FOR_REAL_MEDIA
char_u7259,true,false,false,WAITING_FOR_REAL_MEDIA
char_u725b,true,false,false,WAITING_FOR_REAL_MEDIA
char_u7f8a,true,false,false,WAITING_FOR_REAL_MEDIA
char_u9e1f,true,false,false,WAITING_FOR_REAL_MEDIA
char_u9c7c,true,false,false,WAITING_FOR_REAL_MEDIA
char_u9a6c,true,false,false,WAITING_FOR_REAL_MEDIA
